ID;data;hora;campeonato_id;fase;mandante_id;mandante_placar;visitante_placar;visitante_id;mandante_penalti;visitante_penalti;prorrogacao
1;07/08/1971;;1;1R;13;0;0;2;;;0
2;07/08/1971;;1;1R;3;1;1;28;;;0
3;07/08/1971;;1;1R;6;0;0;30;;;0
4;07/08/1971;;1;1R;26;1;4;11;;;0
5;07/08/1971;;1;1R;15;1;0;8;;;0
6;07/08/1971;;1;1R;10;0;3;1;;;0
7;07/08/1971;;1;1R;9;0;0;7;;;0
8;07/08/1971;;1;1R;4;1;0;19;;;0
9;07/08/1971;;1;1R;22;0;0;12;;;0
10;07/08/1971;;1;1R;17;0;2;5;;;0
11;11/08/1971;;1;1R;15;0;2;2;;;0
12;11/08/1971;;1;1R;13;1;1;8;;;0
13;11/08/1971;;1;1R;30;0;2;1;;;0
14;11/08/1971;;1;1R;22;0;1;11;;;0
15;11/08/1971;;1;1R;5;2;1;19;;;0
16;12/08/1971;;1;1R;26;1;0;12;;;0
17;14/08/1971;;1;1R;28;1;1;30;;;0
18;14/08/1971;;1;1R;1;1;1;3;;;0
19;14/08/1971;;1;1R;8;1;1;6;;;0
20;14/08/1971;;1;1R;2;3;1;10;;;0
21;15/08/1971;;1;1R;5;2;0;9;;;0
22;15/08/1971;;1;1R;13;3;0;15;;;0
23;15/08/1971;;1;1R;22;0;0;26;;;0
24;15/08/1971;;1;1R;7;0;1;12;;;0
25;15/08/1971;;1;1R;11;0;0;4;;;0
26;15/08/1971;;1;1R;17;2;1;19;;;0
27;18/08/1971;;1;1R;28;0;0;1;;;0
28;18/08/1971;;1;1R;2;0;0;6;;;0
29;18/08/1971;;1;1R;7;2;1;17;;;0
30;18/08/1971;;1;1R;13;0;1;10;;;0
31;21/08/1971;;1;1R;22;1;0;7;;;0
32;21/08/1971;;1;1R;17;1;0;26;;;0
33;21/08/1971;;1;1R;8;0;1;3;;;0
34;21/08/1971;;1;1R;11;0;0;5;;;0
35;21/08/1971;;1;1R;9;2;1;4;;;0
36;22/08/1971;;1;1R;2;0;0;30;;;0
37;22/08/1971;;1;1R;1;1;1;6;;;0
38;22/08/1971;;1;1R;15;0;0;10;;;0
39;22/08/1971;;1;1R;12;0;3;19;;;0
40;25/08/1971;;1;1R;4;1;1;5;;;0
41;25/08/1971;;1;1R;17;0;1;9;;;0
42;25/08/1971;;1;1R;26;2;2;7;;;0
43;25/08/1971;;1;1R;3;4;0;13;;;0
44;25/08/1971;;1;1R;1;2;0;15;;;0
45;25/08/1971;;1;1R;6;2;1;28;;;0
46;26/08/1971;;1;1R;8;1;1;30;;;0
47;26/08/1971;;1;1R;11;4;1;19;;;0
48;28/08/1971;;1;1R;15;1;1;3;;;0
49;29/08/1971;;1;1R;13;0;0;28;;;0
50;29/08/1971;;1;1R;17;0;2;12;;;0
51;29/08/1971;;1;1R;10;0;0;8;;;0
52;29/08/1971;;1;1R;9;0;1;19;;;0
53;29/08/1971;;1;1R;26;2;2;4;;;0
54;29/08/1971;;1;1R;5;6;0;22;;;0
55;29/08/1971;;1;1R;7;0;1;11;;;0
56;01/09/1971;;1;1R;3;2;0;10;;;0
57;01/09/1971;;1;1R;13;1;3;30;;;0
58;01/09/1971;;1;1R;1;1;0;2;;;0
59;01/09/1971;;1;1R;12;1;1;9;;;0
60;01/09/1971;;1;1R;26;1;0;5;;;0
61;01/09/1971;;1;1R;22;0;3;4;;;0
62;01/09/1971;;1;1R;19;1;0;7;;;0
63;02/09/1971;;1;1R;15;0;1;6;;;0
64;02/09/1971;;1;1R;28;1;1;8;;;0
